TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,ORDINAL_POSITION
CENSUS,PATIENTID,TEXT,YES,1
CENSUS,BIRTHDATE,TEXT,YES,2
CENSUS,GENDER,TEXT,YES,3
CENSUS,FIRSTNAME,TEXT,YES,4
CENSUS,LASTNAME,TEXT,YES,5
CENSUS,MIDDLEINITIAL,TEXT,YES,6
CENSUS,ADDRESS,TEXT,YES,7
CENSUS,CITY,TEXT,YES,8
CENSUS,COUNTY,TEXT,YES,9
CENSUS,STATE,TEXT,YES,10
CENSUS,COUNTRY,TEXT,YES,11
CENSUS,ZIPCODE,TEXT,YES,12
CENSUS,DEATHDATE,TEXT,YES,13
CENSUS,OMBETHNICITY,TEXT,YES,14
CENSUS,OMBRACE,TEXT,YES,15
CENSUS,BEGINEFFECTIVEDATE,TEXT,YES,16
CENSUS,ENDEFFECTIVEDATE,TEXT,YES,17
CLAIMS,COLUMN0,TEXT,YES,1
CLAIMS,COLUMN1,TEXT,YES,2
CLAIMS,COLUMN2,TEXT,YES,3
CLAIMS,COLUMN3,TEXT,YES,4
CLAIMS,COLUMN4,TEXT,YES,5
CLAIMS,COLUMN5,TEXT,YES,6
CLAIMS,COLUMN6,TEXT,YES,7
CLAIMS,COLUMN7,TEXT,YES,8
CLAIMS,COLUMN8,TEXT,YES,9
CLAIMS,COLUMN9,TEXT,YES,10
CLAIMS,COLUMN10,TEXT,YES,11
CLAIMS,COLUMN11,TEXT,YES,12
CLAIMS,COLUMN12,TEXT,YES,13
CLAIMS,COLUMN13,TEXT,YES,14
CLAIMS,COLUMN14,TEXT,YES,15
CLAIMS,COLUMN15,TEXT,YES,16
CLAIMS,COLUMN16,TEXT,YES,17
CLAIMS,COLUMN17,TEXT,YES,18
CLAIMS,COLUMN18,TEXT,YES,19
CLAIMS,COLUMN19,TEXT,YES,20
CLAIMS,COLUMN20,TEXT,YES,21
CLAIMS,COLUMN21,TEXT,YES,22
ENCOUNTERS,VISITID,TEXT,YES,1
ENCOUNTERS,PATIENTID,TEXT,YES,2
ENCOUNTERS,FACILITYID,TEXT,YES,3
ENCOUNTERS,PHYSICIANID,TEXT,YES,4
ENCOUNTERS,VISITDATE,TEXT,YES,5
ENCOUNTERS,TYPE,TEXT,YES,6
ENCOUNTERS,FINANCIALCLASS,TEXT,YES,7
ENCOUNTERS,STATUS,TEXT,YES,8
LABS,LABTESTKEY,TEXT,YES,1
LABS,ENCOUNTERKEY,TEXT,YES,2
LABS,PATIENTID,TEXT,YES,3
LABS,LABREQUESTID,TEXT,YES,4
LABS,LABRESULTID,TEXT,YES,5
LABS,OBSERVATIONIDENTIFIER,TEXT,YES,6
LABS,OBSERVATIONVALUE,TEXT,YES,7
LABS,OBSERVATIONRESULTSTATUS,TEXT,YES,8
LABS,OBSERVATIONDATETIME,TEXT,YES,9
LABS,PERFORMEDDATETIME,TEXT,YES,10
LABS,ANALYSISDATETIME,TEXT,YES,11
LABS,LABRESULTNOTE,TEXT,YES,12
LABS,OBSERVATIONIDENTIFIERCOMMONNAME,TEXT,YES,13
MEDICATIONS,MEDICATIONID,TEXT,YES,1
MEDICATIONS,VISITID,TEXT,YES,2
MEDICATIONS,PATIENTID,TEXT,YES,3
MEDICATIONS,PRESCRIBINGPROVIDERNPI,TEXT,YES,4
MEDICATIONS,MEDICATIONNAME,TEXT,YES,5
MEDICATIONS,NDCCODE,TEXT,YES,6
MEDICATIONS,DOSAGE,TEXT,YES,7
MEDICATIONS,FREQUENCY,TEXT,YES,8
MEDICATIONS,ROUTE,TEXT,YES,9
MEDICATIONS,QUANTITYDISPENSED,TEXT,YES,10
MEDICATIONS,DAYSSUPPLY,TEXT,YES,11
MEDICATIONS,MEDICATIONSTATUS,TEXT,YES,12
MEDICATIONS,PRESCRIPTIONADMINISTRATIONTIME,TEXT,YES,13
MEDICATIONS,TYPE,TEXT,YES,14
SURGICAL_HISTORY,SURGICALHISTORYID,TEXT,YES,1
SURGICAL_HISTORY,ENCOUNTERID,TEXT,YES,2
SURGICAL_HISTORY,PATIENTID,TEXT,YES,3
SURGICAL_HISTORY,SOURCE,TEXT,YES,4
SURGICAL_HISTORY,CATEGORY,TEXT,YES,5
SURGICAL_HISTORY,SNOMED,TEXT,YES,6
SURGICAL_HISTORY,SECONDARY_SNOMED,TEXT,YES,7
SURGICAL_HISTORY,DATE,TEXT,YES,8
