specialty,phenotypes,atom_id,atom_name,configured_icd_count,warehouse_present_configured_icd_count,configured_icd_codes,warehouse_present_configured_icd_codes,supplied_list_candidate_count,supplied_list_candidate_codes,outside_list_candidate_count,outside_list_candidate_codes,claims_coverage_status
CARDIOLOGY,AL | ATTRV,dizziness,Dizziness / lightheadedness,0,0,,,0,,1,R42,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
CARDIOLOGY,AL | ATTRV,syncope,Syncope / presyncope,0,0,,,0,,189,R55 | S06.0X0A | S06.0X0D | S06.0X0S | S06.0X1A | S06.0X1D | S06.0X1S | S06.0X9A | S06.0X9D | S06.0X9S | S06.0XAA | S06.0XAD | S06.0XAS | S06.1X6A | S06.1X6D | S06.1XAA | S06.2X0A | S06.2X0D | S06.2X1A | S06.2X1D | S06.2X3A | S06.2X4D | S06.2X5D | S06.2X5S | S06.2X6A | S06.2X6D | S06.2X6S | S06.2X9A | S06.2X9D | S06.2X9S | S06.2XAA | S06.2XAD | S06.2XAS | S06.300A | S06.300D | S06.301A | S06.301D | S06.302A | S06.303A | S06.309A | S06.309D | S06.309S | S06.30AA | S06.30AD | S06.310A | S06.310D | S06.311A | S06.314A | S06.319A | S06.319D | S06.31AA | S06.31AD | S06.320A | S06.320D | S06.321A | S06.329A | S06.329D | S06.329S | S06.32AA | S06.32AD | S06.330A | S06.330D | S06.330S | S06.331A | S06.333A | S06.334A | S06.335A | S06.335S | S06.337A | S06.339A | S06.339D | S06.339S | S06.33AA | S06.33AD | S06.33AS | S06.340A | S06.340D | S06.341A | S06.341D | S06.344A | S06.347A | S06.349A | S06.349D | S06.34AA | S06.34AD | S06.350A | S06.350D | S06.350S | S06.351A | S06.353A | S06.359A | S06.359D | S06.359S | S06.35AA | S06.35AD | S06.360A | S06.360D | S06.361A | S06.361D | S06.363A | S06.363D | S06.365S | S06.367A | S06.368A | S06.369A | S06.369D | S06.369S | S06.36AA | S06.36AD | S06.370A | S06.37AA | S06.37AD | S06.380A | S06.380D | S06.4X0A | S06.4X0D | S06.4X1A | S06.4X2A | S06.4X9A | S06.4X9D | S06.4X9S | S06.4XAA | S06.4XAD | S06.5X0A | S06.5X0D | S06.5X0S | S06.5X1A | S06.5X1D | S06.5X1S | S06.5X2D | S06.5X3A | S06.5X5A | S06.5X5S | S06.5X6A | S06.5X6D | S06.5X9A | S06.5X9D | S06.5X9S | S06.5XAA | S06.5XAD | S06.5XAS | S06.6X0A | S06.6X0D | S06.6X0S | S06.6X1A | S06.6X1D | S06.6X2S | S06.6X3A | S06.6X9A | S06.6X9D | S06.6X9S | S06.6XAA | S06.6XAD | S06.890A | S06.895A | S06.895D | S06.895S | S06.899A | S06.899D | S06.89AA | S06.89AD | S06.9X0A | S06.9X0D | S06.9X0S | S06.9X1A | S06.9X1D | S06.9X1S | S06.9X2A | S06.9X2D | S06.9X2S | S06.9X3A | S06.9X3D | S06.9X3S | S06.9X4A | S06.9X4D | S06.9X4S | S06.9X5A | S06.9X5D | S06.9X5S | S06.9X6A | S06.9X6D | S06.9X6S | S06.9X7A | S06.9X9A | S06.9X9D | S06.9X9S | S06.9XAA | S06.9XAD | S06.9XAS,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
NEUROLOGY,AL | ATTRV,polyneuropathy,Polyneuropathy / peripheral neuropathy,0,0,,,1,G60.3,0,,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
GASTROENTEROLOGY,AL | ATTRV | ATTRWT,alternating_bowel_habit,Alternating diarrhea and constipation,0,0,,,0,,1,R19.4,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
HEMATOLOGY,AL | ATTRV | ATTRWT,mgus,Monoclonal gammopathy of undetermined significance,0,0,,,1,D47.2,0,,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
RHEUM_INFLAMMATORY,AL | ATTRV | ATTRWT,autoinflammatory_syndrome,Other chronic autoinflammatory syndrome,0,0,,,1,M04.1,0,,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
RHEUM_INFLAMMATORY,AL | ATTRV | ATTRWT,chronic_infection,Chronic or active infection,0,0,,,42,M86.40 | M86.411 | M86.412 | M86.421 | M86.422 | M86.432 | M86.441 | M86.442 | M86.451 | M86.452 | M86.461 | M86.462 | M86.469 | M86.471 | M86.472 | M86.479 | M86.48 | M86.49 | M86.60 | M86.611 | M86.612 | M86.619 | M86.621 | M86.622 | M86.629 | M86.631 | M86.632 | M86.639 | M86.641 | M86.642 | M86.649 | M86.651 | M86.652 | M86.659 | M86.661 | M86.662 | M86.669 | M86.671 | M86.672 | M86.679 | M86.68 | M86.69,0,,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
RHEUM_INFLAMMATORY,AL | ATTRV | ATTRWT,chronic_inflammatory_arthritis,Chronic inflammatory joint disease,0,0,,,106,M05.10 | M05.20 | M05.241 | M05.29 | M05.30 | M05.379 | M05.39 | M05.471 | M05.50 | M05.541 | M05.59 | M05.662 | M05.69 | M05.70 | M05.711 | M05.712 | M05.719 | M05.721 | M05.722 | M05.731 | M05.732 | M05.739 | M05.741 | M05.742 | M05.749 | M05.751 | M05.761 | M05.762 | M05.769 | M05.771 | M05.772 | M05.779 | M05.79 | M05.7A | M05.80 | M05.812 | M05.841 | M05.842 | M05.851 | M05.852 | M05.861 | M05.862 | M05.89 | M05.9 | M05.A | M06.00 | M06.011 | M06.019 | M06.021 | M06.031 | M06.032 | M06.041 | M06.042 | M06.049 | M06.051 | M06.061 | M06.062 | M06.071 | M06.072 | M06.079 | M06.08 | M06.09 | M06.0A | M06.80 | M06.811 | M06.812 | M06.832 | M06.841 | M06.842 | M06.851 | M06.852 | M06.861 | M06.862 | M06.879 | M06.88 | M06.89 | M06.8A | M06.9 | M08.00 | M08.021 | M08.042 | M08.061 | M08.071 | M08.079 | M08.08 | M08.09 | M08.0A | M08.1 | M08.20 | M08.269 | M08.29 | M08.2A | M08.40 | M08.442 | M08.471 | M08.472 | M45.0 | M45.2 | M45.3 | M45.4 | M45.5 | M45.6 | M45.7 | M45.8 | M45.9 | R76.81,1,M35.05,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
RHEUM_INFLAMMATORY,AL | ATTRV | ATTRWT,ibd_inflammatory_driver,Inflammatory bowel disease,0,0,,,11,K51.80 | K51.811 | K51.813 | K51.814 | K51.818 | K51.819 | K51.90 | K51.911 | K51.914 | K51.918 | K51.919,0,,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
GASTROENTEROLOGY,ATTRV,eating_disorder_label,Anorexia nervosa / eating disorder diagnosis,0,0,,,1,F50.82,2,F50.01 | F50.02,NO_CONFIGURED_ICD_WITH_REVIEW_CANDIDATES
