system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,atom_count,direct_atom_count,atom_ids,atom_names,phenotypes,mapping_roles,audit_flag
ICD10,I10,Essential (primary) hypertension,1286844,71150,5,5,al33_competing_cardiomyopathy | hypertension | wt09_competing_hf_cause | wt11_competing_af_cause | wt13_sarcomeric_hcm,Competing cause of atrial fibrillation | Competing cause of cardiomyopathy | Competing cause of heart failure | Hypertension | Sarcomeric HCM / hypertensive remodeling,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R11.2,"Nausea with vomiting, unspecified",127557,18268,5,5,delayed_gastric_emptying | early_satiety | gastroparesis | nausea | vomiting,Gastroparesis / delayed gastric emptying | delayed gastric emptying | early satiety | nausea | vomiting,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R19.7,"Diarrhea, unspecified",79604,13107,3,3,constipation | diarrhea | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation | diarrhea,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,D64.9,"Anemia, unspecified",110557,11621,2,2,al20_competing_dyspnea | al29_competing_hypotension,Competing cause of dyspnea | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,K59.00,"Constipation, unspecified",49346,11282,3,3,constipation | diarrhea | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation | diarrhea,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,Z98.890,Other specified postprocedural states,50279,9543,3,3,ctr_any | lumbar_decompression | trigger_release,Carpal tunnel release procedure | Lumbar decompression / laminectomy | Trigger finger release procedure,AL | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,A41.9,"Sepsis, unspecified organism",139614,7416,3,3,al17_competing_biomarker | al29_competing_hypotension | wt18_competing_hypotension,Competing cause of cardiac biomarker elevation | Competing cause of falling blood pressure | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,E66.9,"Obesity, unspecified",34183,7295,2,2,al20_competing_dyspnea | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of dyspnea,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R94.31,Abnormal electrocardiogram [ECG] [EKG],16773,6593,2,2,low_ecg_voltage | pseudo_infarct,Low QRS voltage | Pseudo-infarction ECG pattern,AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,K74.60,Unspecified cirrhosis of liver,157162,5609,4,4,al05_competing_hypoalbuminemia | al18_congestive_hepatopathy | al28_competing_effusion | al34_competing_edema,Competing cause of edema | Competing cause of hypoalbuminemia or edema | Competing cause of serosal effusion | Congestive hepatopathy or competing liver disease,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I50.9,"Heart failure, unspecified",60615,5219,5,5,al05_competing_hypoalbuminemia | al20_competing_dyspnea | al28_competing_effusion | al34_competing_edema | hf_any,Competing cause of dyspnea | Competing cause of edema | Competing cause of hypoalbuminemia or edema | Competing cause of serosal effusion | Heart failure,AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R13.10,"Dysphagia, unspecified",24927,5113,4,4,choking | dysarthria | dysphagia | hoarseness,choking | dysarthria | dysphagia | hoarseness,AL | ATTRV | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R20.2,Paresthesia of skin,24650,4537,2,2,sensory_loss | sfn,Sensory loss | Small-fiber neuropathy,AL | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.91,Unspecified atrial fibrillation,47508,3798,3,3,af | al17_competing_biomarker | arrhythmia,Atrial fibrillation or flutter | Competing cause of cardiac biomarker elevation | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
