system,specialty,phenotypes,atom_id,atom_name,configured_mapping_rows,warehouse_present_rows,warehouse_absent_rows,zero_alignment_rows,low_alignment_rows,reused_code_rows,zero_alignment_codes,low_alignment_codes,audit_priority
ICD10,NEUROLOGY,ATTRV,charcot_arthropathy,charcot arthropathy,43,43,0,17,41,43,L97.409=Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity | L97.411=Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin | L97.412=Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed | L97.413=Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle | L97.414=Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone | L97.415=Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis | L97.416=Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis | L97.418=Non-pressure chronic ulcer of right heel and midfoot with other specified severity | L97.419=Non-pressure chronic ulcer of right heel and midfoot with unspecified severity | L97.421=Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin | L97.422=Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed | L97.423=Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle | L97.424=Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone | L97.425=Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis | L97.426=Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis | L97.428=Non-pressure chronic ulcer of left heel and midfoot with other specified severity | L97.429=Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,L97.409=Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity | L97.411=Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin | L97.412=Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed | L97.413=Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle | L97.414=Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone | L97.415=Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis | L97.416=Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis | L97.418=Non-pressure chronic ulcer of right heel and midfoot with other specified severity | L97.419=Non-pressure chronic ulcer of right heel and midfoot with unspecified severity | L97.421=Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin | L97.422=Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed | L97.423=Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle | L97.424=Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone | L97.425=Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis | L97.426=Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis | L97.428=Non-pressure chronic ulcer of left heel and midfoot with other specified severity | L97.429=Non-pressure chronic ulcer of left heel and midfoot with unspecified severity | L97.501=Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin | L97.502=Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed | L97.503=Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle | L97.504=Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone | L97.505=Non-pressure chronic ulcer of other part of unspecified foot with muscle involvement without evidence of necrosis | L97.506=Non-pressure chronic ulcer of other part of unspecified foot with bone involvement without evidence of necrosis | L97.508=Non-pressure chronic ulcer of other part of unspecified foot with other specified severity | L97.509=Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity | L97.511=Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin | L97.512=Non-pressure chronic ulcer of other part of right foot with fat layer exposed | L97.513=Non-pressure chronic ulcer of other part of right foot with necrosis of muscle | L97.514=Non-pressure chronic ulcer of other part of right foot with necrosis of bone | L97.515=Non-pressure chronic ulcer of other part of right foot with muscle involvement without evidence of necrosis | L97.516=Non-pressure chronic ulcer of other part of right foot with bone involvement without evidence of necrosis | L97.518=Non-pressure chronic ulcer of other part of right foot with other specified severity | L97.519=Non-pressure chronic ulcer of other part of right foot with unspecified severity | L97.521=Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin | L97.522=Non-pressure chronic ulcer of other part of left foot with fat layer exposed | L97.523=Non-pressure chronic ulcer of other part of left foot with necrosis of muscle | L97.524=Non-pressure chronic ulcer of other part of left foot with necrosis of bone | L97.525=Non-pressure chronic ulcer of other part of left foot with muscle involvement without evidence of necrosis | L97.526=Non-pressure chronic ulcer of other part of left foot with bone involvement without evidence of necrosis | L97.528=Non-pressure chronic ulcer of other part of left foot with other specified severity | L97.529=Non-pressure chronic ulcer of other part of left foot with unspecified severity,HIGH
ICD10,ORTHOPEDICS_MSK,AL | ATTRV | ATTRWT,biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",28,21,7,17,20,23,"M65.30=Trigger finger, unspecified finger | M65.311=Trigger thumb, right thumb | M65.312=Trigger thumb, left thumb | M65.319=Trigger thumb, unspecified thumb | M65.321=Trigger finger, right index finger | M65.322=Trigger finger, left index finger | M65.329=Trigger finger, unspecified index finger | M65.331=Trigger finger, right middle finger | M65.332=Trigger finger, left middle finger | M65.339=Trigger finger, unspecified middle finger | M65.341=Trigger finger, right ring finger | M65.342=Trigger finger, left ring finger | M65.349=Trigger finger, unspecified ring finger | M65.351=Trigger finger, right little finger | M65.352=Trigger finger, left little finger | M65.359=Trigger finger, unspecified little finger | M65.9=Synovitis and tenosynovitis, unspecified","M65.30=Trigger finger, unspecified finger | M65.311=Trigger thumb, right thumb | M65.312=Trigger thumb, left thumb | M65.319=Trigger thumb, unspecified thumb | M65.321=Trigger finger, right index finger | M65.322=Trigger finger, left index finger | M65.329=Trigger finger, unspecified index finger | M65.331=Trigger finger, right middle finger | M65.332=Trigger finger, left middle finger | M65.339=Trigger finger, unspecified middle finger | M65.341=Trigger finger, right ring finger | M65.342=Trigger finger, left ring finger | M65.349=Trigger finger, unspecified ring finger | M65.351=Trigger finger, right little finger | M65.352=Trigger finger, left little finger | M65.359=Trigger finger, unspecified little finger | M65.9=Synovitis and tenosynovitis, unspecified | M75.100=Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic | M75.101=Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic | M75.102=Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic",HIGH
ICD10,ORTHOPEDICS_MSK,ATTRV | ATTRWT,rotator_cuff,Rotator cuff tear / repair,22,20,2,17,17,22,"M65.30=Trigger finger, unspecified finger | M65.311=Trigger thumb, right thumb | M65.312=Trigger thumb, left thumb | M65.319=Trigger thumb, unspecified thumb | M65.321=Trigger finger, right index finger | M65.322=Trigger finger, left index finger | M65.329=Trigger finger, unspecified index finger | M65.331=Trigger finger, right middle finger | M65.332=Trigger finger, left middle finger | M65.339=Trigger finger, unspecified middle finger | M65.341=Trigger finger, right ring finger | M65.342=Trigger finger, left ring finger | M65.349=Trigger finger, unspecified ring finger | M65.351=Trigger finger, right little finger | M65.352=Trigger finger, left little finger | M65.359=Trigger finger, unspecified little finger | M65.9=Synovitis and tenosynovitis, unspecified","M65.30=Trigger finger, unspecified finger | M65.311=Trigger thumb, right thumb | M65.312=Trigger thumb, left thumb | M65.319=Trigger thumb, unspecified thumb | M65.321=Trigger finger, right index finger | M65.322=Trigger finger, left index finger | M65.329=Trigger finger, unspecified index finger | M65.331=Trigger finger, right middle finger | M65.332=Trigger finger, left middle finger | M65.339=Trigger finger, unspecified middle finger | M65.341=Trigger finger, right ring finger | M65.342=Trigger finger, left ring finger | M65.349=Trigger finger, unspecified ring finger | M65.351=Trigger finger, right little finger | M65.352=Trigger finger, left little finger | M65.359=Trigger finger, unspecified little finger | M65.9=Synovitis and tenosynovitis, unspecified",HIGH
ICD10,NEUROLOGY,ATTRV,trophic_change,trophic change,43,43,0,15,38,43,L97.409=Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity | L97.412=Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed | L97.413=Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle | L97.414=Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone | L97.415=Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis | L97.416=Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis | L97.418=Non-pressure chronic ulcer of right heel and midfoot with other specified severity | L97.419=Non-pressure chronic ulcer of right heel and midfoot with unspecified severity | L97.422=Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed | L97.423=Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle | L97.424=Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone | L97.425=Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis | L97.426=Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis | L97.428=Non-pressure chronic ulcer of left heel and midfoot with other specified severity | L97.429=Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,L97.409=Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity | L97.411=Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin | L97.412=Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed | L97.413=Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle | L97.414=Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone | L97.415=Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis | L97.416=Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis | L97.418=Non-pressure chronic ulcer of right heel and midfoot with other specified severity | L97.419=Non-pressure chronic ulcer of right heel and midfoot with unspecified severity | L97.421=Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin | L97.422=Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed | L97.423=Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle | L97.424=Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone | L97.425=Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis | L97.426=Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis | L97.428=Non-pressure chronic ulcer of left heel and midfoot with other specified severity | L97.429=Non-pressure chronic ulcer of left heel and midfoot with unspecified severity | L97.502=Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed | L97.503=Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle | L97.504=Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone | L97.505=Non-pressure chronic ulcer of other part of unspecified foot with muscle involvement without evidence of necrosis | L97.506=Non-pressure chronic ulcer of other part of unspecified foot with bone involvement without evidence of necrosis | L97.508=Non-pressure chronic ulcer of other part of unspecified foot with other specified severity | L97.509=Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity | L97.512=Non-pressure chronic ulcer of other part of right foot with fat layer exposed | L97.513=Non-pressure chronic ulcer of other part of right foot with necrosis of muscle | L97.514=Non-pressure chronic ulcer of other part of right foot with necrosis of bone | L97.515=Non-pressure chronic ulcer of other part of right foot with muscle involvement without evidence of necrosis | L97.516=Non-pressure chronic ulcer of other part of right foot with bone involvement without evidence of necrosis | L97.518=Non-pressure chronic ulcer of other part of right foot with other specified severity | L97.519=Non-pressure chronic ulcer of other part of right foot with unspecified severity | L97.522=Non-pressure chronic ulcer of other part of left foot with fat layer exposed | L97.523=Non-pressure chronic ulcer of other part of left foot with necrosis of muscle | L97.524=Non-pressure chronic ulcer of other part of left foot with necrosis of bone | L97.525=Non-pressure chronic ulcer of other part of left foot with muscle involvement without evidence of necrosis | L97.526=Non-pressure chronic ulcer of other part of left foot with bone involvement without evidence of necrosis | L97.528=Non-pressure chronic ulcer of other part of left foot with other specified severity | L97.529=Non-pressure chronic ulcer of other part of left foot with unspecified severity,HIGH
ICD10,CARDIOLOGY,AL | ATTRV | ATTRWT,thick_walls,Unexplained left-ventricular wall thickness / LVH,13,13,0,13,13,10,"I42.0=Dilated cardiomyopathy | I42.1=Obstructive hypertrophic cardiomyopathy | I42.2=Other hypertrophic cardiomyopathy | I42.3=Endomyocardial (eosinophilic) disease | I42.4=Endocardial fibroelastosis | I42.5=Other restrictive cardiomyopathy | I42.6=Alcoholic cardiomyopathy | I42.7=Cardiomyopathy due to drug and external agent | I42.8=Other cardiomyopathies | I42.9=Cardiomyopathy, unspecified | I50.32=Chronic diastolic (congestive) heart failure | I50.33=Acute on chronic diastolic (congestive) heart failure | I51.7=Cardiomegaly","I42.0=Dilated cardiomyopathy | I42.1=Obstructive hypertrophic cardiomyopathy | I42.2=Other hypertrophic cardiomyopathy | I42.3=Endomyocardial (eosinophilic) disease | I42.4=Endocardial fibroelastosis | I42.5=Other restrictive cardiomyopathy | I42.6=Alcoholic cardiomyopathy | I42.7=Cardiomyopathy due to drug and external agent | I42.8=Other cardiomyopathies | I42.9=Cardiomyopathy, unspecified | I50.32=Chronic diastolic (congestive) heart failure | I50.33=Acute on chronic diastolic (congestive) heart failure | I51.7=Cardiomegaly",HIGH
ICD10,MULTISPECIALTY,AL | ATTRV,unintentional_weight_loss,Unintentional weight loss / declining BMI,16,12,4,8,8,2,"F50.00=Anorexia nervosa, unspecified | F50.010=Anorexia nervosa, restricting type, mild | F50.011=Anorexia nervosa, restricting type, moderate | F50.014=Anorexia nervosa, restricting type, in remission | F50.019=Anorexia nervosa, restricting type, unspecified | F50.020=Anorexia nervosa, binge eating/purging type, mild | F50.024=Anorexia nervosa, binge eating/purging type, in remission | F50.029=Anorexia nervosa, binge eating/purging type, unspecified","F50.00=Anorexia nervosa, unspecified | F50.010=Anorexia nervosa, restricting type, mild | F50.011=Anorexia nervosa, restricting type, moderate | F50.014=Anorexia nervosa, restricting type, in remission | F50.019=Anorexia nervosa, restricting type, unspecified | F50.020=Anorexia nervosa, binge eating/purging type, mild | F50.024=Anorexia nervosa, binge eating/purging type, in remission | F50.029=Anorexia nervosa, binge eating/purging type, unspecified",HIGH
ICD10,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,15,15,0,6,6,14,"I44.1=Atrioventricular block, second degree | I44.2=Atrioventricular block, complete | I44.30=Unspecified atrioventricular block | I44.39=Other atrioventricular block | I45.4=Nonspecific intraventricular block | Z95.0=Presence of cardiac pacemaker","I44.1=Atrioventricular block, second degree | I44.2=Atrioventricular block, complete | I44.30=Unspecified atrioventricular block | I44.39=Other atrioventricular block | I45.4=Nonspecific intraventricular block | Z95.0=Presence of cardiac pacemaker",HIGH
ICD10,CARDIOLOGY,ATTRV,arrhythmia,arrhythmia,14,14,0,5,5,14,"I44.1=Atrioventricular block, second degree | I44.2=Atrioventricular block, complete | I44.30=Unspecified atrioventricular block | I44.39=Other atrioventricular block | I45.4=Nonspecific intraventricular block","I44.1=Atrioventricular block, second degree | I44.2=Atrioventricular block, complete | I44.30=Unspecified atrioventricular block | I44.39=Other atrioventricular block | I45.4=Nonspecific intraventricular block",HIGH
ICD10,GASTROENTEROLOGY,ATTRV,choking,choking,4,4,0,4,4,4,"R13.10=Dysphagia, unspecified | R13.19=Other dysphagia | R47.1=Dysarthria and anarthria | R49.0=Dysphonia","R13.10=Dysphagia, unspecified | R13.19=Other dysphagia | R47.1=Dysarthria and anarthria | R49.0=Dysphonia",HIGH
ICD10,NEPHROLOGY,AL,falling_egfr,Falling eGFR / rising creatinine,4,4,0,4,4,3,"N17.9=Acute kidney failure, unspecified | N18.3=Chronic kidney disease, stage 3 (moderate) | N18.4=Chronic kidney disease, stage 4 (severe) | N18.5=Chronic kidney disease, stage 5","N17.9=Acute kidney failure, unspecified | N18.3=Chronic kidney disease, stage 3 (moderate) | N18.4=Chronic kidney disease, stage 4 (severe) | N18.5=Chronic kidney disease, stage 5",HIGH
