source_kind,source_file,specialty,phenotypes,atom_id,atom_name,system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,mapping_role,can_fire_atom_alone,review_status,match_mode,context_guard,warehouse_meaning_source,warehouse_exact_meaning,lexical_alignment,lexical_overlap_tokens,config_reuse_count,audit_flags
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.0,Paroxysmal atrial fibrillation,40961,2965,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,1.0,"atrial, fibrill, paroxysmal",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.11,Longstanding persistent atrial fibrillation,7223,594,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,0.75,"atrial, fibrill, persistent",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.19,Other persistent atrial fibrillation,6814,629,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,1.0,"atrial, fibrill, persistent",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.20,"Chronic atrial fibrillation, unspecified",6028,571,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,1.0,"atrial, chronic, fibrill",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.21,Permanent atrial fibrillation,3420,230,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,1.0,"atrial, fibrill, permanent",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.3,Typical atrial flutter,2048,222,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,0.667,"atrial, flutter",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.4,Atypical atrial flutter,828,85,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,0.667,"atrial, flutter",2,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.91,Unspecified atrial fibrillation,47508,3798,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,1.0,"atrial, fibrill",3,CODE_REUSED_IN_CONFIG | CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I48.92,Unspecified atrial flutter,5355,614,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,1.0,"atrial, flutter",1,CAN_FIRE_ALONE | DIRECT_TARGET
ATOM,v5/config/shared/atoms/CARDIOLOGY.json,CARDIOLOGY,AL | ATTRV | ATTRWT,af,Atrial fibrillation or flutter,ICD10,I44.1,"Atrioventricular block, second degree",771,193,DIRECT_TARGET,True,SOURCE_CANDIDATE,EXACT,"Match only atrial fibrillation/flutter language. Conduction disease, pacemaker/device language, or generic arrhythmia must not create an AF atom.",local,True,0.0,,3,CODE_REUSED_IN_CONFIG | ZERO_LEXICAL_ALIGNMENT_REVIEW | CAN_FIRE_ALONE | DIRECT_TARGET
