configured_parent_code,atom_ids,atom_names,phenotypes,warehouse_descendant_count,warehouse_descendant_patient_count_sum,warehouse_descendants,descendants_missing_from_one_or_more_atoms,audit_flag
R53.8,malaise,Malaise,AL,3,21158,"R53.81=Other malaise (patients=1687) | R53.82=Chronic fatigue, unspecified (patients=4070) | R53.83=Other fatigue (patients=15401)",R53.82 | R53.83,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
G56.0,cts_any,Carpal tunnel syndrome,AL | ATTRWT,4,5227,"G56.00=Carpal tunnel syndrome, unspecified upper limb (patients=118) | G56.01=Carpal tunnel syndrome, right upper limb (patients=1383) | G56.02=Carpal tunnel syndrome, left upper limb (patients=817) | G56.03=Carpal tunnel syndrome, bilateral upper limbs (patients=2909)",G56.01 | G56.02 | G56.03,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
I50.3,hfpef,Heart failure with preserved ejection fraction,AL | ATTRV | ATTRWT,4,3483,I50.30=Unspecified diastolic (congestive) heart failure (patients=652) | I50.31=Acute diastolic (congestive) heart failure (patients=184) | I50.32=Chronic diastolic (congestive) heart failure (patients=2077) | I50.33=Acute on chronic diastolic (congestive) heart failure (patients=570),I50.30 | I50.31,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
M48.06,lumbar_stenosis,Lumbar spinal stenosis,AL | ATTRV | ATTRWT,2,2151,"M48.061=Spinal stenosis, lumbar region without neurogenic claudication (patients=1097) | M48.062=Spinal stenosis, lumbar region with neurogenic claudication (patients=1054)",,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
E05.9,al09_competing_weight_loss | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of unintentional weight loss,,2,2126,"E05.90=Thyrotoxicosis, unspecified without thyrotoxic crisis or storm (patients=2100) | E05.91=Thyrotoxicosis, unspecified with thyrotoxic crisis or storm (patients=26)",E05.90 | E05.91,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
Z51.1,myeloma_therapy_exposure,Anti-myeloma therapy exposure,AL,2,1153,Z51.11=Encounter for antineoplastic chemotherapy (patients=1034) | Z51.12=Encounter for antineoplastic immunotherapy (patients=119),Z51.12,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
Z96.65,arthroplasty,Hip or knee arthroplasty,ATTRWT,4,767,"Z96.651=Presence of right artificial knee joint (patients=370) | Z96.652=Presence of left artificial knee joint (patients=343) | Z96.653=Presence of artificial knee joint, bilateral (patients=39) | Z96.659=Presence of unspecified artificial knee joint (patients=15)",Z96.659,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
Z96.64,arthroplasty,Hip or knee arthroplasty,ATTRWT,4,479,"Z96.641=Presence of right artificial hip joint (patients=209) | Z96.642=Presence of left artificial hip joint (patients=205) | Z96.643=Presence of artificial hip joint, bilateral (patients=30) | Z96.649=Presence of unspecified artificial hip joint (patients=35)",Z96.649,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
S46.2,wt03_traumatic_rupture,Traumatic biceps tendon rupture,,14,253,"S46.201A=Unspecified injury of muscle, fascia and tendon of other parts of biceps, right arm, initial encounter (patients=3) | S46.202A=Unspecified injury of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter (patients=1) | S46.202D=Unspecified injury of muscle, fascia and tendon of other parts of biceps, left arm, subsequent encounter (patients=1) | S46.209A=Unspecified injury of muscle, fascia and tendon of other parts of biceps, unspecified arm, initial encounter (patients=17) | S46.211A=Strain of muscle, fascia and tendon of other parts of biceps, right arm, initial encounter (patients=86) | S46.211D=Strain of muscle, fascia and tendon of other parts of biceps, right arm, subsequent encounter (patients=25) | S46.211S=Strain of muscle, fascia and tendon of other parts of biceps, right arm, sequela (patients=7) | S46.212A=Strain of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter (patients=74) | S46.212D=Strain of muscle, fascia and tendon of other parts of biceps, left arm, subsequent encounter (patients=12) | S46.212S=Strain of muscle, fascia and tendon of other parts of biceps, left arm, sequela (patients=4) | S46.219A=Strain of muscle, fascia and tendon of other parts of biceps, unspecified arm, initial encounter (patients=19) | S46.219S=Strain of muscle, fascia and tendon of other parts of biceps, unspecified arm, sequela (patients=1) | S46.222A=Laceration of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter (patients=2) | S46.229A=Laceration of muscle, fascia and tendon of other parts of biceps, unspecified arm, initial encounter (patients=1)",S46.201A | S46.202A | S46.202D | S46.209A | S46.211A | S46.211D | S46.211S | S46.212A | S46.212D | S46.212S | S46.219A | S46.219S | S46.222A | S46.229A,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
E88.0,hypoalbuminemia,Marked hypoalbuminemia,AL | ATTRWT,3,244,"E88.01=Alpha-1-antitrypsin deficiency (patients=34) | E88.02=Plasminogen deficiency (patients=1) | E88.09=Other disorders of plasma-protein metabolism, not elsewhere classified (patients=209)",E88.01 | E88.02,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
S46.21,wt03_traumatic_rupture,Traumatic biceps tendon rupture,,8,228,"S46.211A=Strain of muscle, fascia and tendon of other parts of biceps, right arm, initial encounter (patients=86) | S46.211D=Strain of muscle, fascia and tendon of other parts of biceps, right arm, subsequent encounter (patients=25) | S46.211S=Strain of muscle, fascia and tendon of other parts of biceps, right arm, sequela (patients=7) | S46.212A=Strain of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter (patients=74) | S46.212D=Strain of muscle, fascia and tendon of other parts of biceps, left arm, subsequent encounter (patients=12) | S46.212S=Strain of muscle, fascia and tendon of other parts of biceps, left arm, sequela (patients=4) | S46.219A=Strain of muscle, fascia and tendon of other parts of biceps, unspecified arm, initial encounter (patients=19) | S46.219S=Strain of muscle, fascia and tendon of other parts of biceps, unspecified arm, sequela (patients=1)",S46.211A | S46.211D | S46.211S | S46.212A | S46.212D | S46.212S | S46.219A | S46.219S,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
S46.1,wt03_traumatic_rupture,Traumatic biceps tendon rupture,,12,26,"S46.101S=Unspecified injury of muscle, fascia and tendon of long head of biceps, right arm, sequela (patients=1) | S46.102A=Unspecified injury of muscle, fascia and tendon of long head of biceps, left arm, initial encounter (patients=1) | S46.109A=Unspecified injury of muscle, fascia and tendon of long head of biceps, unspecified arm, initial encounter (patients=2) | S46.111A=Strain of muscle, fascia and tendon of long head of biceps, right arm, initial encounter (patients=5) | S46.111D=Strain of muscle, fascia and tendon of long head of biceps, right arm, subsequent encounter (patients=4) | S46.112A=Strain of muscle, fascia and tendon of long head of biceps, left arm, initial encounter (patients=5) | S46.112D=Strain of muscle, fascia and tendon of long head of biceps, left arm, subsequent encounter (patients=2) | S46.112S=Strain of muscle, fascia and tendon of long head of biceps, left arm, sequela (patients=1) | S46.119A=Strain of muscle, fascia and tendon of long head of biceps, unspecified arm, initial encounter (patients=1) | S46.191D=Other injury of muscle, fascia and tendon of long head of biceps, right arm, subsequent encounter (patients=1) | S46.191S=Other injury of muscle, fascia and tendon of long head of biceps, right arm, sequela (patients=1) | S46.192A=Other injury of muscle, fascia and tendon of long head of biceps, left arm, initial encounter (patients=2)",S46.101S | S46.102A | S46.109A | S46.111A | S46.111D | S46.112A | S46.112D | S46.112S | S46.119A | S46.191D | S46.191S | S46.192A,EXACT_PARENT_WILL_NOT_MATCH_BILLABLE_DESCENDANTS
