code,meaning,warehouse_row_count,warehouse_patient_count,candidate_origins,amyloid_tier,amyloid_signal_categories,review_bucket,suggested_atom_ids,suggested_atom_names,suggestion_scores,audit_flags
E11.65,Type 2 diabetes mellitus with hyperglycemia,1104598,34684,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:10.0(phrase;same_icd_category;tokens=diabete,mellitu,type)",
R42,Dizziness and giddiness,149978,19708,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,dizziness,Dizziness / lightheadedness,"dizziness:7.0(phrase;tokens=dizziness,giddiness)",
Z13.1,Encounter for screening for diabetes mellitus,39000,17325,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)",
R10.2,Pelvic and perineal pain,94476,10820,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
E11.69,Type 2 diabetes mellitus with other specified complication,102413,10136,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:10.0(phrase;same_icd_category;tokens=diabete,mellitu,type)",
R11.0,Nausea,37480,9365,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,nausea,nausea,nausea:3.0(same_icd_category;tokens=nausea),
R55,Syncope and collapse,56603,8388,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=collapse,syncope)",
R63.5,Abnormal weight gain,52623,8024,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,unintentional_weight_loss,Unintentional weight loss / declining BMI,unintentional_weight_loss:3.0(same_icd_category;tokens=weight),
R10.11,Right upper quadrant pain,57271,8011,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
R74.01,Elevation of levels of liver transaminase levels,43284,6363,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,hepatic_alp_elevation,Cholestatic alkaline phosphatase elevation,hepatic_alp_elevation:3.0(same_icd_category;tokens=elevation),
R10.31,Right lower quadrant pain,38333,6202,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
R10.30,"Lower abdominal pain, unspecified",38896,5992,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,"abdominal_pain:9.0(phrase;same_icd_category;tokens=abdominal,pain)",
R11.10,"Vomiting, unspecified",23670,5563,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,vomiting,vomiting,vomiting:3.0(same_icd_category;tokens=vomit),
R10.32,Left lower quadrant pain,36480,5494,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
R10.12,Left upper quadrant pain,21924,3322,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
E11.8,Type 2 diabetes mellitus with unspecified complications,29662,3108,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:10.0(phrase;same_icd_category;tokens=diabete,mellitu,type)",
P92.6,Failure to thrive in newborn,20925,3051,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,unintentional_weight_loss,Unintentional weight loss / declining BMI,"unintentional_weight_loss:7.0(phrase;tokens=failure,thrive)",
H91.93,"Unspecified hearing loss, bilateral",14160,2982,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,age_excessive_snhl,Bilateral sensorineural hearing loss disproportionate to age,"age_excessive_snhl:5.0(same_icd_category;tokens=bilateral,hearing,loss)",
