code,meaning,candidate_origins,suggested_atom_ids,suggested_atom_names,suggestion_scores
C47.11,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",ATOM_PHRASE_MATCH,cts_right,"Carpal tunnel syndrome, right","cts_right:3.0(tokens=limb,right,upper)"
C47.12,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",ATOM_PHRASE_MATCH,cts_left,"Carpal tunnel syndrome, left","cts_left:3.0(tokens=left,limb,upper)"
C47.8,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,ATOM_PHRASE_MATCH,dysautonomia,Autonomic dysfunction / dysautonomia,"dysautonomia:3.0(tokens=autonomic,nervou,system)"
C90.32,Solitary plasmacytoma in relapse,CONFIGURED_ICD_CATEGORY,plasma_cell_dyscrasia,Plasma-cell dyscrasia / multiple myeloma,plasma_cell_dyscrasia:3.0(same_icd_category;tokens=plasmacytoma)
D48.2,Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system,ATOM_PHRASE_MATCH,dysautonomia,Autonomic dysfunction / dysautonomia,"dysautonomia:3.0(tokens=autonomic,nervou,system)"
E08.3212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3319,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.59,Diabetes mellitus due to underlying condition with other circulatory complications,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E08.630,Diabetes mellitus due to underlying condition with periodontal disease,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E08.638,Diabetes mellitus due to underlying condition with other oral complications,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.01,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,ATOM_PHRASE_MATCH,diabetes | renal_dysfunction,Renal dysfunction / chronic kidney disease | diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu) | renal_dysfunction:7.0(phrase;tokens=chronic,kidney)"
E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
